Designator,Value,LibPart,Footprint,Datasheet,LCSC_part_number,MANUFACTURER,MAXIMUM_PACKAGE_HEIGHT,PARTREV,STANDARD,digikey_part_number
R18,10k,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,C17414,,,,,RMCF0805JT10K0CT-ND
R20,10k,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,C17414,,,,,RMCF0805JT10K0CT-ND
R19,470,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,C17710,,,,,A126441CT-ND
R21,470,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,C17710,,,,,A126441CT-ND
R6,47k,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,C17713,,,,,RMCF0805JT47K0CT-ND
Q2,MMBT3904,Transistor_BJT:MMBT3904,Package_TO_SOT_SMD:SOT-23,https://www.onsemi.com/pub/Collateral/2N3903-D.PDF,C20526,,,,,3757-MMBT3904_R1_00001CT-ND
Q3,MMBT3904,Transistor_BJT:MMBT3904,Package_TO_SOT_SMD:SOT-23,https://www.onsemi.com/pub/Collateral/2N3903-D.PDF,C20526,,,,,3757-MMBT3904_R1_00001CT-ND
D3,B_LED,Device:LED,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,C2293,,,,,732-4982-1-ND
D2,G_LED,Device:LED,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,C2297,,,,,160-1218-1-ND
C3,1u,Device:C,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,C28323,,,,,1276-1275-1-ND
C5,1u,Device:C,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,C28323,,,,,1276-1275-1-ND
C8,1u,Device:C,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,C28323,,,,,1276-1275-1-ND
C9,1u,Device:C,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,C28323,,,,,1276-1275-1-ND
C10,1u,Device:C,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,C28323,,,,,1276-1275-1-ND
C11,1u,Device:C,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,C28323,,,,,1276-1275-1-ND
U5,ESP32-WROOM-32D,RF_Module:ESP32-WROOM-32D,RF_Module:ESP32-WROOM-32,https://www.espressif.com/sites/default/files/documentation/esp32-wroom-32d_esp32-wroom-32u_datasheet_en.pdf,C473012,,,,,1965-ESP32-WROOM-32D(4MB)CT-ND
